SiteName,Region,Season,Date,Count
Orange River: Mouth - Bridge (Northern Cape),NC,S,09/02/2001,311
Strandfontein Sewage Works,WC,O,12/09/2004,311
Strandfontein Sewage Works,WC,O,12/03/2000,310
Strandfontein Sewage Works,WC,S,09/02/1997,308
Langebaan: Lagoon Combined (Western Cape),WC,W,10/08/1991,307
Kamfers Dam (Northern Cape),NC,S,24/03/2000,307
Strandfontein Sewage Works,WC,O,15/03/1987,307
Marrick Pan (Northern Cape),NC,S,07/02/2009,306
Strandfontein Sewage Works,WC,O,15/03/1984,301
Lake St Lucia (KwaZulu-Natal),KZN,W,10/08/1993,300
Strandfontein Sewage Works,WC,S,10/02/2002,298
Orange River: Mouth - Bridge (Northern Cape),NC,S,23/01/1999,294
Strandfontein Sewage Works,WC,S,15/02/1989,292
Lake St Lucia (KwaZulu-Natal),KZN,S,08/02/2012,291
Strandfontein Sewage Works,WC,O,15/12/1987,289
Strandfontein Sewage Works,WC,O,15/04/1992,289
Strandfontein Sewage Works,WC,O,15/01/1988,285
Orange River: Mouth - Bridge (Northern Cape),NC,S,05/02/2003,283
Strandfontein Sewage Works,WC,O,12/11/1995,283
Lake St Lucia (KwaZulu-Natal),KZN,W,13/07/1996,280
Strandfontein Sewage Works,WC,O,15/11/1985,280
Strandfontein Sewage Works,WC,S,15/02/1986,279
Strandfontein Sewage Works,WC,O,14/11/1999,276
Strandfontein Sewage Works,WC,O,13/05/2001,276
Strandfontein Sewage Works,WC,S,15/02/1984,274
Langebaan: Lagoon Combined (Western Cape),WC,W,07/07/1979,268
Strandfontein Sewage Works,WC,S,09/01/1994,266
Strandfontein Sewage Works,WC,O,06/04/2003,266
Strandfontein Sewage Works,WC,O,10/12/1995,265
Strandfontein Sewage Works,WC,O,01/12/1996,260
Langebaan: Lagoon Combined (Western Cape),WC,W,08/07/1978,258
Langebaan: Lagoon Combined (Western Cape),WC,W,12/07/1980,258
Strandfontein Sewage Works,WC,S,09/01/2005,257
Langebaan: Lagoon Combined (Western Cape),WC,W,19/07/1998,256
Strandfontein Sewage Works,WC,O,08/11/1998,256
Strandfontein Sewage Works,WC,O,15/12/1991,255
Lake St Lucia (KwaZulu-Natal),KZN,S,18/01/1992,254
Strandfontein Sewage Works,WC,O,15/03/1990,253
Orange River: Mouth - Bridge (Northern Cape),NC,W,07/07/2000,250
Strandfontein Sewage Works,WC,O,15/05/1992,240
Strandfontein Sewage Works,WC,O,10/10/2004,228
Strandfontein Sewage Works,WC,O,08/10/2000,224
Strandfontein Sewage Works,WC,O,14/04/2002,224
Lake St Lucia (KwaZulu-Natal),KZN,W,04/07/1992,220
Strandfontein Sewage Works,WC,O,15/04/1991,218
Orange River: Mouth - Bridge (Northern Cape),NC,S,09/02/2005,216
Strandfontein Sewage Works,WC,O,15/01/1987,214
Strandfontein Sewage Works,WC,O,15/11/1987,213
Orange River: Mouth - Bridge (Northern Cape),NC,S,01/02/1997,210
Strandfontein Sewage Works,WC,O,10/05/1998,206
Langebaan: Lagoon Combined (Western Cape),WC,W,23/07/1983,205
Strandfontein Sewage Works,WC,O,08/06/2003,205
Lake St Lucia (KwaZulu-Natal),KZN,S,20/01/2017,200
Strandfontein Sewage Works,WC,O,11/12/1994,185
Orange River: Mouth - Bridge (Northern Cape),NC,S,04/02/2004,182
Strandfontein Sewage Works,WC,O,15/03/1986,178
Lake St Lucia (KwaZulu-Natal),KZN,S,07/03/2008,176
Strandfontein Sewage Works,WC,O,15/03/1992,175
Langebaan: Lagoon Combined (Western Cape),WC,W,03/07/1982,172
Wildevoelvlei (Western Cape),WC,W,08/07/1999,170
Strandfontein Sewage Works,WC,O,15/04/1984,169
Langebaan: Lagoon Combined (Western Cape),WC,S,10/02/1980,168
Strandfontein Sewage Works,WC,O,15/03/1985,162
Langebaan: Lagoon Combined (Western Cape),WC,W,11/07/1981,151
Strandfontein Sewage Works,WC,W,13/07/2003,149
Strandfontein Sewage Works,WC,O,15/11/1986,149
Lake St Lucia (KwaZulu-Natal),KZN,S,04/02/2015,148
Strandfontein Sewage Works,WC,O,15/12/1983,148
Lake St Lucia (KwaZulu-Natal),KZN,W,15/07/1995,146
Strandfontein Sewage Works,WC,O,10/11/1996,146
Langebaan: Lagoon Combined (Western Cape),WC,W,13/07/1985,144
Orange River: Mouth - Bridge (Northern Cape),NC,W,31/08/2006,135
Langebaan: Lagoon Combined (Western Cape),WC,S,20/02/1993,135
Strandfontein Sewage Works,WC,O,15/05/1991,135
Strandfontein Sewage Works,WC,O,08/04/1995,132
Langebaan: Lagoon Combined (Western Cape),WC,W,09/08/1995,130
Strandfontein Sewage Works,WC,W,13/07/1997,130
Strandfontein Sewage Works,WC,W,21/07/1996,128
Strandfontein Sewage Works,WC,O,15/10/1993,128
Lake St Lucia (KwaZulu-Natal),KZN,S,29/01/2005,127
Strandfontein Sewage Works,WC,S,15/02/1994,126
Strandfontein Sewage Works,WC,O,12/05/2002,125
Kamfers Dam (Northern Cape),NC,S,20/02/2007,123
Strandfontein Sewage Works,WC,O,09/06/1996,122
Orange River: Mouth - Bridge (Northern Cape),NC,S,21/01/2017,120
